,County,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
0,Apache,160,767,779,839,762,796,786,852,886,865,816,749,774,879,10710
1,Cochise,296,1331,1320,1407,1527,1475,1433,1474,1488,1532,1641,1452,1428,1378,19182
2,Coconino,234,1396,1263,1429,1410,1490,1376,1425,1398,1295,1541,1494,1347,1399,18497
3,Gila,195,556,660,650,636,612,527,602,589,617,582,545,518,561,7850
4,Graham,128,512,572,537,598,565,533,523,458,438,511,455,448,488,6766
5,Greenlee,125,142,144,161,180,140,129,132,115,124,137,132,110,120,1891
6,La Paz,36,176,186,189,240,207,217,204,209,181,194,185,158,138,2520
7,Maricopa,11868,52632,54248,56388,58499,58742,58281,57583,57327,57329,56479,56074,53258,56108,744816
8,Mohave,345,1757,1824,1779,1942,1821,1815,1832,1859,1860,1743,1749,1654,1728,23708
9,Navajo,331,1242,1375,1353,1541,1460,1419,1367,1327,1264,1517,1406,1355,1337,18294
10,Pima,2134,10535,10925,11466,11807,11868,11677,11217,11519,11351,11240,11702,10615,12260,150316
11,Pinal,900,3585,3654,3868,4006,4154,4125,4067,3738,3776,3533,3456,3211,3204,49277
12,Santa Cruz,28,716,680,748,798,828,759,763,804,741,842,848,852,763,10170
13,Yavapai,364,1735,1763,1892,1978,2030,2009,1968,1962,1976,1976,1942,1786,1787,25168
14,Yuma,619,2690,2668,2875,2937,2953,2955,3005,3007,2953,3140,3026,2789,3018,38635
15,Arizona,17763,79772,82061,85581,88861,89141,88041,87014,86686,86302,85898,85239,80407,85422,1128188
