grade,population
12,36.5
12,35.1
12,34.6
12,31.4
12,29.5
12,26.7
12,24.4
12,25
12,23.2
12,21.6
12,21.6
12,20.4
12,20.1
12,19.2
12,18.7
12,17.1
12,16.3
12,13.6
12,11.4
12,10.5
11,29.8
11,27.6
11,25.7
11,23.9
11,21.3
11,17.7
11,16.7
11,16
11,14.9
11,14.5
11,14
11,12.3
11,13.1
11,13.6
11,11.8
11,10.8
11,9.1
11,7.2
11,6.3
11,4.9
10,19.4
10,19.1
10,17.5
10,14.6
10,12.2
10,10.7
10,10.2
10,9.2
10,9.3
10,8.7
10,7.1
10,6.8
10,6.5
10,7.1
10,6.1
10,4.9
10,4.5
10,4
10,3.6
10,2.6
