,Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
0,2018,A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,*,13,*,*,*,*,13,*,*,*,*,*,*,*,63
1,2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,*,*,*,*,*,*,*,*,*,*,*,45,35,64,151
2,2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3,2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,*,70,71,72,74,77,*,*,*,*,*,*,*,*,364
4,2018,ASU Preparatory Academy,90273,Phoenix Collegiate Academy Charter School,90274,*,*,*,*,*,*,31,45,39,46,*,*,*,*,161
5,2018,ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,*,*,*,*,*,*,*,*,*,*,105,104,84,86,379
6,2018,ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,*,*,*,*,*,*,*,*,*,*,84,71,54,57,266
7,2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,*,74,71,76,73,75,*,*,*,*,*,*,*,*,369
8,2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,*,*,*,*,*,*,87,89,84,86,*,*,*,*,346
9,2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,*,*,*,*,*,*,75,72,74,74,*,*,*,*,295
10,2018,ASU Preparatory Academy,92716,"Phoenix Collegiate Academy Elementary, LLC",70692,*,46,40,35,41,34,*,*,*,*,*,*,*,*,196
11,2018,ASU Preparatory Academy,346763,Phoenix Collegiate Academy High School,92248,*,*,*,*,*,*,*,*,*,*,30,35,29,48,142
12,2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,*,*,*,*,*,*,*,*,*,*,*,*,*,*,17
13,2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,*,*,*,*,*,*,*,*,*,*,62,31,32,24,149
14,2018,ASU Preparatory Academy Digital,522074,ASU Preparatory Academy Digital,860177,*,*,*,*,*,*,*,*,*,*,15,11,*,*,38
15,2018,"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,*,*,*,*,*,*,*,*,37,32,22,23,26,33,173
16,2018,"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,*,*,20,14,14,13,*,*,*,*,*,*,*,*,85
17,2018,"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,*,82,64,60,63,61,48,37,56,50,*,*,*,*,521
18,2018,"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,*,*,*,*,*,12,*,*,*,*,*,*,*,*,84
19,2018,"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,*,*,*,*,*,*,*,*,*,*,*,37,29,43,116
20,2018,"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,*,*,*,*,*,*,*,*,*,*,*,*,*,*,46
21,2018,"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,*,58,58,66,65,51,47,39,45,27,*,*,*,*,456
22,2018,"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,*,103,105,96,96,90,81,94,84,58,*,*,*,*,807
23,2018,"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,*,60,59,57,52,52,*,*,*,*,*,*,*,*,280
24,2018,"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,*,*,*,*,*,*,*,*,*,*,38,42,37,30,147
25,2018,"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,*,*,*,*,*,*,57,72,76,66,*,*,*,*,271
26,2018,Academy with Community Partners  Inc,79213,Academy with Community Partners,10795,*,*,*,*,*,*,*,*,*,*,*,11,31,62,108
27,2018,Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,*,16,11,15,12,14,13,16,11,18,15,*,*,*,165
28,2018,"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,*,*,*,*,*,*,*,*,*,*,*,15,52,102,175
29,2018,Acclaim Charter School,4325,ACCLAIM Academy,5496,*,29,38,36,40,46,30,44,42,37,*,*,*,*,342
30,2018,Acorn Montessori Charter School,79437,Acorn Montessori Charter School,79438,*,*,*,59,54,53,41,44,40,28,*,*,*,*,319
31,2018,Acorn Montessori Charter School,79437,"Acorn Montessori Charter School, Inc. - West",88180,*,68,53,*,*,*,*,*,*,*,*,*,*,*,121
32,2018,Agua Fria Union High School District,4289,Agua Fria High School,5454,*,*,*,*,*,*,*,*,*,*,497,482,406,376,1761
33,2018,Agua Fria Union High School District,4289,Desert Edge High School,79799,*,*,*,*,*,*,*,*,*,*,481,389,429,396,1695
34,2018,Agua Fria Union High School District,4289,Millennium High School,78926,*,*,*,*,*,*,*,*,*,*,587,657,531,512,2287
35,2018,Agua Fria Union High School District,4289,Verrado High School,87903,*,*,*,*,*,*,*,*,*,*,539,558,432,494,2023
36,2018,Aguila Elementary District,4249,Aguila Elementary School,5187,*,15,11,16,23,15,21,18,16,16,*,*,*,*,158
37,2018,Ajo Unified District,4409,Ajo Elementary School,5831,*,30,34,36,36,38,44,30,32,36,*,*,*,*,324
38,2018,Ajo Unified District,4409,Ajo High School,6292,*,*,*,*,*,*,*,*,*,*,27,38,30,24,119
39,2018,"Akimel O Otham Pee Posh Charter School, Inc.",5978,Akimel O'Otham Pee Posh (K-2),10797,*,*,*,*,*,*,*,*,*,*,*,*,*,*,17
40,2018,"Akimel O'Otham Pee Posh Charter School, Inc.",78966,Akimel O'Otham Pee Posh (3-5),78967,*,*,*,*,*,38,44,*,*,*,*,*,*,*,82
41,2018,Alhambra Elementary District,4280,Alhambra Traditional School,5381,*,97,85,89,80,86,78,77,62,57,*,*,*,*,711
42,2018,Alhambra Elementary District,4280,Andalucia Middle School,5382,*,*,*,*,*,212,246,218,211,215,*,*,*,*,1102
43,2018,Alhambra Elementary District,4280,Barcelona Middle School,5384,186,*,*,*,*,143,146,133,149,138,*,*,*,*,895
44,2018,Alhambra Elementary District,4280,Carol G. Peck Elementary School,6030,*,147,139,164,154,*,*,*,*,*,*,*,*,*,604
45,2018,Alhambra Elementary District,4280,Catalina Ventura School,5385,*,101,88,101,109,152,141,145,148,149,*,*,*,*,1134
46,2018,Alhambra Elementary District,4280,Cordova Elementary School,5386,*,77,63,74,94,95,110,101,104,109,*,*,*,*,827
47,2018,Alhambra Elementary District,4280,Granada East School,5387,*,*,*,*,*,198,217,227,204,205,*,*,*,*,1051
48,2018,Alhambra Elementary District,4280,Granada Primary School,5388,*,171,173,184,203,*,*,*,*,*,*,*,*,*,731
49,2018,Alhambra Elementary District,4280,James W. Rice Primary School,5383,*,180,190,203,223,*,*,*,*,*,*,*,*,*,796
50,2018,Alhambra Elementary District,4280,Montebello School,5389,*,103,133,121,149,153,143,168,139,148,*,*,*,*,1257
51,2018,Alhambra Elementary District,4280,R E Simpson School,5391,*,*,*,*,*,151,163,174,175,141,*,*,*,*,804
52,2018,Alhambra Elementary District,4280,Sevilla Primary School,5390,*,163,173,201,228,*,*,*,*,*,*,*,*,*,765
53,2018,Alhambra Elementary District,4280,Sevilla West School,79203,*,*,*,*,*,227,232,223,216,250,*,*,*,*,1148
54,2018,Alhambra Elementary District,4280,Westwood Primary School,5392,*,175,171,189,188,*,*,*,*,*,*,*,*,*,723
55,2018,All Aboard Charter School,79969,All Aboard Charter School,79970,*,24,23,18,23,16,17,*,*,*,*,*,*,*,121
56,2018,"Allen-Cochran Enterprises, Inc.",4347,Center for Educational Excellence,5521,*,35,50,44,39,44,42,38,29,22,*,*,*,*,343
57,2018,Alpine Elementary District,4161,Alpine Elementary School,4743,*,11,*,*,*,*,*,*,*,*,*,*,*,*,60
58,2018,Altar Valley Elementary District,4418,Altar Valley Middle School,5859,*,*,*,*,*,*,68,82,78,74,*,*,*,*,302
59,2018,Altar Valley Elementary District,4418,Robles Elementary School,84336,23,63,52,66,62,71,*,*,*,*,*,*,*,*,337
60,2018,American Basic Schools LLC,79215,Burke Basic School,78788,*,141,133,143,115,146,119,83,*,*,*,*,*,*,880
61,2018,American Charter Schools Foundation d.b.a. Alta Vista High School,80995,Alta Vista High School,80996,*,*,*,*,*,*,*,*,*,*,73,125,111,119,428
62,2018,American Charter Schools Foundation d.b.a. Apache Trail High School,79883,Apache Trail High School,6346,*,*,*,*,*,*,*,*,*,*,18,38,46,60,162
63,2018,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,79874,Crestview College Preparatory High School,78813,*,*,*,*,*,*,*,*,*,17,23,52,80,102,275
64,2018,American Charter Schools Foundation d.b.a. Desert Hills High School,79872,Desert Hills High School,78901,*,*,*,*,*,*,*,*,*,*,21,39,58,67,185
